招聘职业,地区,公司,薪资,工作经验要求,学历要求,工作介绍,公司福利,详情页
Java,南昌·青山湖区·昌东,小智匠,6-11K,1年以内,大专,五险一金，节日福利,HTMLCSSSQLMVC开发服务器配置网络协议,https://www.zhipin.com/job_detail/51db4849311349a81XR_2tS1EFpQ.html?lid=8eGh33uYKh3.search.18&securityId=28NQcFyDRH7hR-X1NA5tTZLiG8l5dQYw1HQ9eJZ9d9Vkl7du6rbwE4z_LDogFo-WQfxFah3TmQJwBCf5CtdwjKbesVU_BINb5QxIexBkKZp029qXIl3b&sessionId=
Java,南昌·南昌县·象湖,黄金屋科技有限公司,4-7K,1-3年,本科,带薪年假，团体意外险，节日福利，社保，员工旅游，年终奖，包吃，零食下午茶，包住,Java后端工程师,https://www.zhipin.com/job_detail/89dbedcfa5254b5b1XJ80tq_E1tQ.html?lid=8eGh33uYKh3.search.19&securityId=gcFQQpGtDVOSc-U1ISqs2VqGJte2rt6zs3AsybwgsCU1WEWf-M6igbdTScgMT2cK6zT6h-sitgE6BoEGqF5uChahwL4FSesYNOOKw_jQGd8LQhNHAg~~&sessionId=
Java,南昌·东湖区·江西师大,金太阳未来教育,8-13K,1-3年,本科,年终奖，五险一金，交通补助，餐补，带薪年假,架构师初级软件工程师,https://www.zhipin.com/job_detail/cbb226b7cfcc68fd1XR72NS1FVFR.html?lid=8eGh33uYKh3.search.20&securityId=TVDnLC7lwSuSn-e1Ffq0F-C9cLjXJOVVnuZbUC6kLwr_ich5uTTHmL6Z9oRm3XNYeyjDfDliepCvitumYOtroEnDQ67YUvXUr4ygBV5dqQl4xR_vrWU~&sessionId=
Java,南昌·东湖区·八一广场,百川盈孚,8-13K,3-5年,大专,生日福利，节日福利，带薪年假，五险一金,微服务架构SQL中级软件工程师全栈开发SpringBoot,https://www.zhipin.com/job_detail/7878e2714881cbb71XV_0ti5F1pQ.html?lid=8eGh33uYKh3.search.21&securityId=sRhUdEsg_N3oS-O1249hSlgYD6yy1fihSLwljd7-hb219uGw5yKmCt1X4eGL7fMI7DSmcUVc90TD1WhMfQePFMLiFGN73_lTW7xXQa0sM2N2pjuePQ~~&sessionId=
Java,南昌·东湖区·联发天虹,云亮信息,8-10K,3-5年,大专,包吃，节日福利,Java数据结构MySQLLinux后端开发,https://www.zhipin.com/job_detail/85ac9d14fb01224133xz2NS0FFQ~.html?lid=8eGh33uYKh3.search.22&securityId=ZCm1s3YTxvPCK-u1_98r-WUdkmlIOSNV_sJlZjuQRD5KXMNV7_xlRvtZsZpr9ILnB5XuSB6yIyq5miGY_v0ETP3d9rm0cn8alT4CFZV9YUtzHIMBaQ~~&sessionId=
Java,南昌·西湖区·八一广场,神玥软件,8-12K,3-5年,本科,五险一金，带薪年假，节日福利，包吃，餐补，免费班车，住房补贴,Java计算机软件后端开发,https://www.zhipin.com/job_detail/8c5bb580081a4a100XZ42tW0GVc~.html?lid=8eGh33uYKh3.search.23&securityId=z9-Arb_bQ0-wa-71NdXg3yjWXUq5ryFOr2xlFUh6gBzKPv67tDLrr-N__W2sxb0Jx4rtgYBv7PDN9YdVM8uDcA7lK8teaXHRnE6EIev-MQojlqA~&sessionId=
Java,南昌·西湖区·孺子路,茂行,8-12K·13薪,1-3年,本科,,分布式技术微服务架构MVC开发,https://www.zhipin.com/job_detail/ec41b458b79db4071n1z2d64F1FV.html?lid=8eGh33uYKh3.search.24&securityId=54T2ze15OydOg-a14Kd_JG41F9wNr2sV76_mWnIwMeKQ9xn-GHTazSObJ5cdW2D9868arZ3g930ieCfoXQsdq2U8OOukvzMSF1E0i6eEerhNxRd-nwA~&sessionId=
Java,南昌·东湖区,墨二十三科技,15-20K,1-3年,本科,,Java数据库后端开发,https://www.zhipin.com/job_detail/f27a3ea3e4f7c9c81nN63N-4GFA~.html?lid=8eGh33uYKh3.search.25&securityId=W64TfZjJiTQoU-A1Frdux7cDwO1nEoEH3HLSJO0RArhi1diBx8oHPDmO5SixM-JlcmDeJmF8bOh28p3zVi-M-0HBAIE-rzCN2GiD1nhAdmvCZIST&sessionId=
Java,南昌·青云谱区·洪都,惠谊共隆,3-6K,经验不限,学历不限,,后端开发JavaHTML/CSS,https://www.zhipin.com/job_detail/c4c17fa5e17899550nF90tq-FQ~~.html?lid=8eGh33uYKh3.search.26&securityId=WWAMpTBaVWR3y--1XF0i9RGtsLB0NDBWiWowooMq2nrKZUcrV1BPnhg7RVG1-3mIkhxZuc6YaQfPs111KG0MSGODfemCmXaEdgbc9j9EMmHybQ~~&sessionId=
Java,南昌·青山湖区·艾溪湖,中科伟青云,10-15K,5-10年,本科,五险一金，补充医疗保险，定期体检，加班补助,服务器配置Redis分布式技术NettySpringCloud,https://www.zhipin.com/job_detail/f40efa1945d9400f1nd42Nm1GFJW.html?lid=8eGh33uYKh3.search.27&securityId=yFBoCpshgzzxy-O1plZDYgxmBCJfNevuD_0DZ-uV8Ak-fX-9fZUgmnmKf1GgayW195UlkmhmpUZEgXg0aJb2nAYI5MefUpdRGBHk_8Naa9QwaygJFA~~&sessionId=
Java,南昌·青山湖区·高新,左宸,3-4K,1-3年,硕士,,JavaWeb端汇编语言容器技术多进程SkynetSwift,https://www.zhipin.com/job_detail/3b4210cf89181a8f3n1z3d-6F1A~.html?lid=8eGh33uYKh3.search.28&securityId=hggNne9AaugZF-11bQb-Oxk3xwC9smC4kEJatgsMMEXhVovJ3jMKh1-fEeToDLgvqld4fYwrFVyU3si04wgSmRSyTzJ6gYpmNgYQzOo5UV6JVvlaCqc~&sessionId=
JAVA,南昌·青山湖区·高新,南昌优行科技,9-11K·13薪,3-5年,大专,节日福利，零食下午茶，定期体检，员工旅游，带薪年假，年终奖，高温补贴,MVC开发SpringHibernateRedisOracleNoSQL,https://www.zhipin.com/job_detail/efeae134067087381nJ72NW8ElNU.html?lid=8eGh33uYKh3.search.29&securityId=nvp0OOcR_d6Ew-t1qY-ntSEeL37qnDK1IM46pfBCanbN14P44G2_vgf9LpOOi8lRUXlHV8HP8VpPWt6JSv_2247FqmtGDS3KB4OuRZM3u3pIKfbJk9Y~&sessionId=
Java,南昌·青山湖区·高新,泰豪科技股份有限公司,6-12K,经验不限,本科,五险一金，节日福利，员工旅游，交通补助，通讯补贴，定期体检，年终奖，带薪年假,JavaDubboOracle,https://www.zhipin.com/job_detail/3d8ef621e160e0111n153di1GVFT.html?lid=8eGh33uYKh3.search.30&securityId=px0cOkKUGrxK0-O1dlKJyV7HgZe_K50JC_TCNK9b6_6mC53RpqhttRIkdcaC6sGeRnNiB1c_X4dIl3OeVHzRuiyXWlQxPLLZB1as59KcXjU8V09Z&sessionId=
